keys,it
ATTR_STR,FOR
ATTR_DEX,DES
ATTR_INT,INT
ATTR_VIT,VIT
ATTR_WIL,VOL
ATTR_STR_FULL,Forza
ATTR_DEX_FULL,Destrezza
ATTR_INT_FULL,Intelligenza
ATTR_VIT_FULL,Vitalità
ATTR_WIL_FULL,Volontà
SLOT_HEAD,Testa
SLOT_BODY,Corpo
SLOT_LEFT_HAND,Mano sinistra
SLOT_RIGHT_HAND,Mano destra
SLOT_RING_1,Anello 1
SLOT_RING_2,Anello 2
SLOT_NECK,Collo
SLOT_FEET,Piedi
SLOT_CLOAK,Mantello
SLOT_TRINKET,Amuleto
SLOT_HANDS,Mani
ITEM_CAT_WEAPON,Arma
ITEM_CAT_ARMOR,Armatura
ITEM_CAT_ACCESSORY,Accessorio
ITEM_CAT_CONSUMABLE,Consumabile
ITEM_CAT_KEY_ITEM,Oggetto chiave
ITEM_CAT_SUMMON,Evocazione
QUALITY_COMUNE,Comune
QUALITY_MAGICO,Magico
QUALITY_RARO,Raro
QUALITY_EPICO,Epico
QUALITY_LEGGENDARIO,Leggendario
QUALITY_UNICO,Unico
ITEM_TIP_UNIDENTIFIED,??? {type} {quality}
ITEM_TIP_TYPE,Tipo: {type}
ITEM_TIP_SLOT,Slot: {slot}
ITEM_TIP_TIER,Tier {tier}
ITEM_TIP_ATTACK_BONUS,Attacco: +{value}
ITEM_TIP_DEFENSE_BONUS,Difesa: +{value}
ITEM_TIP_NOT_IDENTIFIED,Non identificato
ENEMY_FAMILY_HUMANOID,Umanoide
ENEMY_FAMILY_BEAST,Bestia
ENEMY_FAMILY_UNDEAD,Non-morto
ENEMY_FAMILY_CONSTRUCT,Costrutto
ENEMY_FAMILY_DRAGON,Drago
ENEMY_FAMILY_DEMON,Demone
ENEMY_FAMILY_ABERRATION,Aberrazione
MAP_TYPE_VILLAGE,Villaggio
MAP_TYPE_CITY,Città
MAP_TYPE_BUILDING,Edificio
MAP_TYPE_DUNGEON,Dungeon
MAP_TYPE_RUIN,Rovine
MAP_TYPE_OVERWORLD,Sovrammondo
QUEST_STATUS_ACTIVE,In corso
QUEST_STATUS_READY,Da consegnare
QUEST_STATUS_DONE,Completata
QUEST_OBJECTIVE_KILL,Sconfiggi {target}
QUEST_OBJECTIVE_COLLECT,Raccogli {item}
QUEST_OBJECTIVE_REACH,Raggiungi {location}
QUEST_OBJECTIVE_TALK,Parla con {npc}
CURRENCY_GOLD,oro
CURRENCY_GOLD_AMOUNT,{amount} oro
STAT_ATTACK_BONUS,Attacco
STAT_DEFENSE_BONUS,Difesa
STAT_HP_BONUS,HP
STAT_MP_BONUS,MP
STAT_STAMINA_BONUS,Stamina
STAT_SPEED_BONUS,Velocità
STAT_CRIT_BONUS,Critico
TOOLTIP_SECTION_STATS,Statistiche:
TOOLTIP_SECTION_BASE,Base:
TOOLTIP_SECTION_TOTAL,Totale:
TOOLTIP_SECTION_AFFIXES,Affissi:
TOOLTIP_SECTION_FIXED_AFFIXES,Affissi fissi:
TOOLTIP_NOT_IDENTIFIED_ITALIC,Non identificato
TOOLTIP_SCALES_WITH_LEVEL,Scala con il livello del personaggio.
TOOLTIP_VALUE,Valore: ~
TOOLTIP_QUANTITY,Quantità: {n}
TOOLTIP_VS_EQUIPPED,vs equipaggiato:
TOOLTIP_EMPTY_SLOT,(vuoto)
TOOLTIP_GOLD_NAME,Oro
ITEM_TYPE_EQUIPMENT,Equipaggiamento
ITEM_TYPE_CONSUMABLE,Consumabile
ITEM_TYPE_KEY_ITEM,Oggetto chiave
ITEM_TYPE_CLASS_LICENSE,Licenza di classe
ITEM_TYPE_GENERIC,Oggetto
TOOLTIP_ATTACK_PLUS,Attacco: +{value}
TOOLTIP_ATTACK_MINUS,Attacco: {value}
TOOLTIP_DEFENSE_PLUS,Difesa: +{value}
TOOLTIP_DEFENSE_MINUS,Difesa: {value}
TOOLTIP_HEAL,Cura {value} HP
TOOLTIP_VALUE_GOLD,Valore: {amount} oro
