keys,it
# ── Item names and descriptions ─────────────────────────────────────────────
ITEM_AMULETO_ABISSO_NAME,Amuleto dell'Abisso
ITEM_AMULETO_CACCIATORE_NAME,Amuleto del Cacciatore
ITEM_AMULETO_CAVALIERE_NAME,Amuleto del Cavaliere
ITEM_AMULETO_DRUIDO_NAME,Amuleto del Druido
ITEM_AMULETO_ELETTO_NAME,Amuleto dell'Eletto
ITEM_AMULETO_IMMORTALE_NAME,Amuleto dell'Immortale
ITEM_AMULETO_MAGO_NAME,Amuleto del Mago
ITEM_AMULETO_RAME_NAME,Amuleto di Rame
ITEM_AMULETO_TEMPLARE_NAME,Amuleto del Templare
ITEM_AMULETO_VIAGGIATORE_NAME,Amuleto del Viaggiatore
ITEM_CIONDOLO_DIASPRO_NAME,Ciondolo di Diaspro
ITEM_CIONDOLO_GRANATO_NAME,Ciondolo di Granato
ITEM_CIONDOLO_INCISO_NAME,Ciondolo Inciso
ITEM_CIONDOLO_LEGNO_NAME,Ciondolo di Legno
ITEM_CIONDOLO_MITHRIL_NAME,Ciondolo di Mithril
ITEM_CIONDOLO_OSSO_NAME,Ciondolo di Osso
ITEM_CIONDOLO_RUNATO_NAME,Ciondolo Runato
ITEM_CIONDOLO_SACERDOTE_NAME,Ciondolo del Sacerdote
ITEM_CIONDOLO_SPIRITI_NAME,Ciondolo degli Spiriti
ITEM_CIONDOLO_STELLE_NAME,Ciondolo delle Stelle
ITEM_COLLANA_CORDA_NAME,Collana di Corda
ITEM_COLLANA_DESTINO_NAME,Collana del Destino
ITEM_COLLANA_FERRO_NAME,Collana di Ferro
ITEM_COLLANA_NEGROMANTE_NAME,Collana del Negromante
ITEM_COLLANA_QUARZO_NAME,Collana di Quarzo
ITEM_COLLANA_SAGGIO_NAME,Collana del Saggio
ITEM_MEDAGLIONE_ARCANO_NAME,Medaglione Arcano
ITEM_MEDAGLIONE_ARGENTO_NAME,Medaglione d'Argento
ITEM_MEDAGLIONE_ORO_NAME,Medaglione d'Oro
ITEM_MEDAGLIONE_VAMPIRO_NAME,Medaglione del Vampiro
ITEM_ANELLO_ABISSI_NAME,Anello degli Abissi
ITEM_ANELLO_AMETISTA_NAME,Anello di Ametista
